"birthday","prob"
"01-01",0.00303529169667661
"01-02",0.00282950920876633
"01-03",0.00308673731865418
"01-04",0.00272661796481119
"01-05",0.00349830229447474
"01-06",0.00298384607469904
"01-07",0.00318962856260932
"01-08",0.00298384607469904
"01-09",0.00257228109887849
"01-10",0.00298384607469904
"01-11",0.00267517234283362
"01-12",0.00308673731865418
"01-13",0.00262372672085606
"01-14",0.00262372672085606
"01-15",0.00236649861096821
"01-16",0.00318962856260932
"01-17",0.00318962856260932
"01-18",0.00272661796481119
"01-19",0.00277806358678876
"01-20",0.00262372672085606
"01-21",0.00313818294063175
"01-22",0.00210927050108036
"01-23",0.00298384607469904
"01-24",0.00277806358678876
"01-25",0.00226360736701307
"01-26",0.00241794423294578
"01-27",0.00272661796481119
"01-28",0.00293240045272147
"01-29",0.00226360736701307
"01-30",0.00226360736701307
"01-31",0.00324107418458689
"02-01",0.00303529169667661
"02-02",0.00298384607469904
"02-03",0.0022121617450355
"02-04",0.00226360736701307
"02-05",0.00200637925712522
"02-06",0.00216071612305793
"02-07",0.00298384607469904
"02-08",0.00226360736701307
"02-09",0.00277806358678876
"02-10",0.00370408478238502
"02-11",0.00231505298899064
"02-12",0.00329251980656446
"02-13",0.00349830229447474
"02-14",0.0028809548307439
"02-15",0.00293240045272147
"02-16",0.00262372672085606
"02-17",0.00246938985492335
"02-18",0.00282950920876633
"02-19",0.00236649861096821
"02-20",0.00277806358678876
"02-21",0.00252083547690092
"02-22",0.00349830229447474
"02-23",0.00236649861096821
"02-24",0.00257228109887849
"02-25",0.00282950920876633
"02-26",0.00252083547690092
"02-27",0.0022121617450355
"02-28",0.00267517234283362
"03-01",0.00252083547690092
"03-02",0.00298384607469904
"03-03",0.00282950920876633
"03-04",0.00334396542854203
"03-05",0.00313818294063175
"03-06",0.00226360736701307
"03-07",0.00272661796481119
"03-08",0.00262372672085606
"03-09",0.00267517234283362
"03-10",0.00277806358678876
"03-11",0.00241794423294578
"03-12",0.00349830229447474
"03-13",0.00298384607469904
"03-14",0.00257228109887849
"03-15",0.00272661796481119
"03-16",0.00277806358678876
"03-17",0.00226360736701307
"03-18",0.00272661796481119
"03-19",0.00180059676921494
"03-20",0.00293240045272147
"03-21",0.00241794423294578
"03-22",0.00282950920876633
"03-23",0.00236649861096821
"03-24",0.00257228109887849
"03-25",0.00262372672085606
"03-26",0.00236649861096821
"03-27",0.00293240045272147
"03-28",0.00200637925712522
"03-29",0.00257228109887849
"03-30",0.00190348801317008
"03-31",0.00236649861096821
